,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price
10319,0.001,1,0,0,120,6,0,0,10.99
10320,0.001,1,0,12,8,11,0,0,3.99
10321,0.001,1,0,25,33,21,0,0,2.09
10322,0.001,1,0,0,38,5,0,0,4.79
10323,0.001,1,0,14,229,40,182,182,3.99
10324,0.001,1,0,0,452,219,11,11,0.0
10325,0.001,1,0,30,105,29,0,0,6.99
10326,0.001,1,16,0,398,260,5193,5193,0.0
10327,0.001,0,0,21,116,2,0,0,12.39
10328,0.001,1,0,0,7,1,0,0,3.99
10329,0.001,1,0,24,3,0,0,0,10.99
10330,0.001,1,0,0,10,8,0,0,0.0
10331,0.001,1,0,13,20,5,0,0,11.39
10332,0.001,1,0,0,34,33,0,0,0.0
10333,0.001,1,0,13,17,3,0,0,5.59
10334,0.001,1,0,0,31,28,0,0,0.0
10335,0.001,1,0,0,13,2,0,0,1.69
10336,0.001,1,0,133,558,213,292,313,6.99
10337,0.001,1,0,10,40,22,0,0,10.99
10338,0.001,1,0,0,37,11,0,0,1.59
10339,0.001,1,0,0,86,14,0,0,1.99
10340,0.001,1,0,0,2,0,0,0,0.79
10341,0.001,1,0,1,10,0,0,0,2.79
10342,0.001,1,0,12,20,11,0,0,3.99
10343,0.001,1,0,89,7,8,0,0,1.99
10344,0.001,1,0,28,177,29,0,0,1.99
10345,0.001,1,0,7,4,1,0,0,2.09
10346,0.001,1,0,20,138,13,313,313,4.99
10347,0.001,1,0,15,83,34,308,308,2.79
10348,0.001,1,0,16,28,15,0,0,1.69
10349,0.001,1,0,0,2,2,0,0,5.59
10350,0.001,1,0,26,14,3,0,0,6.99
10351,0.001,1,0,28,12,1,0,0,5.59
10352,0.001,1,0,20,9,12,181,181,0.79
10353,0.001,1,0,0,53,51,213,214,2.09
10354,0.001,1,0,44,153,7,0,0,4.79
10355,0.001,1,0,0,18,2,0,0,10.99
10356,0.001,1,0,14,20,1,0,0,1.99
10357,0.001,1,0,15,6,3,0,0,5.79
10358,0.001,1,0,0,1,0,0,0,0.79
10359,0.001,1,0,9,50,25,0,0,10.99
10360,0.001,1,0,12,10,5,0,0,6.99
10361,0.001,1,0,31,2406,59,241,242,3.99
10362,0.001,1,0,9,26,13,352,398,3.99
10363,0.001,1,0,45,35,10,0,0,1.99
10364,0.001,1,0,18,53,10,0,0,9.29
10365,0.001,1,0,0,10,7,0,0,3.99
10366,0.001,1,0,1,55,4,0,0,6.99
10367,0.001,1,0,4,16,6,0,0,3.99
10368,0.001,1,0,10,3,1,0,0,0.79
10369,0.001,1,0,27,68,14,289,289,3.99
10370,0.001,1,0,0,19,8,0,0,1.99
10371,0.001,1,0,53,2833,204,54,54,29.99
10372,0.001,1,0,0,8,1,0,0,6.99
10373,0.001,1,0,34,11,1,0,0,6.99
10374,0.001,1,0,39,1269,202,141,232,29.99
10375,0.001,1,0,39,46,17,206,209,1.99
10376,0.001,1,0,0,14,10,0,0,8.99
10377,0.001,1,0,0,1316,395,81,96,0.0
10378,0.001,1,0,0,8,2,0,0,4.99
10379,0.001,1,0,22,15,6,1,1,5.19
10380,0.001,1,0,0,5,5,0,0,3.99
10381,0.001,1,0,9,2,1,0,0,1.59
10382,0.001,1,0,20,21,1,0,0,6.99
10383,0.001,1,0,170,66,29,251,251,0.79
10384,0.001,1,0,0,408,29,1,1,6.99
10385,0.001,1,0,58,6,2,0,0,2.09
10386,0.001,1,0,0,140,47,0,0,6.99
10387,0.001,1,0,10,3,3,0,0,6.99
10388,0.001,1,0,0,28,3,0,0,5.79
10389,0.001,1,0,0,18,2,0,0,4.99
10390,0.001,1,0,0,32,0,0,0,0.79
10391,0.001,1,0,16,8,3,0,0,0.79
10392,0.001,1,0,13,49,29,0,0,2.79
10393,0.001,1,12,26,316,5,0,0,26.99
10394,0.001,1,0,13,348,35,8,8,9.99
10395,0.001,1,3,20,153,17,0,0,2.79
10396,0.001,1,0,14,38,3,0,0,1.99
10397,0.001,1,0,18,2515,240,131,131,1.59
10398,0.001,1,0,22,27,2,0,0,6.99
